lat,lon,active_months,active_seasons,ban_month_hits,non_ban_month_hits,total_hours,mean_active_month_hours,first_period,last_period,persistence_class
13.16,80.33000183105469,12,4,4,8,41.30527777777778,3.4421064814814817,2023-02,2024-06,chronic (9+)
13.15,80.31999969482422,9,4,2,7,5.1930555555555555,0.5770061728395062,2023-01,2024-09,chronic (9+)
13.17,80.37000274658203,8,4,2,6,7.86,0.9825,2023-05,2024-05,persistent (4-8)
13.14,80.33000183105469,7,4,2,5,9.278333333333334,1.3254761904761907,2023-05,2024-09,persistent (4-8)
13.14,80.33999633789062,7,4,1,6,7.423333333333333,1.0604761904761904,2023-01,2024-05,persistent (4-8)
13.13,80.36000061035156,7,4,1,6,6.517222222222222,0.931031746031746,2023-09,2024-09,persistent (4-8)
13.14,80.30999755859375,7,4,3,4,5.476111111111111,0.7823015873015873,2023-06,2024-08,persistent (4-8)
13.13,80.31999969482422,6,3,1,5,6.729444444444445,1.121574074074074,2023-02,2024-06,persistent (4-8)
13.19,80.33999633789062,6,4,1,5,6.144444444444444,1.024074074074074,2023-04,2024-09,persistent (4-8)
13.14,80.31999969482422,6,3,3,3,5.614166666666667,0.9356944444444445,2023-05,2024-08,persistent (4-8)
13.16,80.33999633789062,5,4,1,4,18.31722222222222,3.663444444444444,2023-07,2024-05,persistent (4-8)
13.16,80.37000274658203,5,3,1,4,7.880833333333333,1.5761666666666667,2023-10,2024-08,persistent (4-8)
13.15,80.3499984741211,5,2,0,5,6.330555555555555,1.266111111111111,2023-01,2024-01,persistent (4-8)
13.18,80.37000274658203,5,4,1,4,5.591666666666667,1.1183333333333334,2023-04,2024-04,persistent (4-8)
13.28,80.37000274658203,5,4,1,4,5.14,1.028,2023-03,2024-09,persistent (4-8)
13.15,80.33999633789062,5,4,1,4,4.8613888888888885,0.9722777777777777,2023-08,2024-05,persistent (4-8)
13.15,80.33000183105469,5,3,0,5,4.656111111111111,0.9312222222222222,2023-01,2024-09,persistent (4-8)
13.17,80.33999633789062,5,2,3,2,4.487777777777778,0.8975555555555556,2023-06,2024-08,persistent (4-8)
13.17,80.36000061035156,5,2,0,5,4.281666666666666,0.8563333333333333,2023-01,2024-01,persistent (4-8)
13.13,80.30999755859375,5,4,1,4,3.7088888888888887,0.7417777777777778,2023-06,2024-04,persistent (4-8)
13.17,80.3499984741211,5,4,1,4,3.538055555555556,0.7076111111111112,2023-08,2024-05,persistent (4-8)
13.17,80.33000183105469,5,2,0,5,3.4080555555555554,0.6816111111111111,2023-02,2024-01,persistent (4-8)
12.85,80.27999877929688,4,2,1,3,7.410833333333333,1.8527083333333332,2023-03,2023-07,persistent (4-8)
13.18,80.37999725341797,4,4,1,3,5.860277777777778,1.4650694444444445,2023-01,2024-08,persistent (4-8)
13.16,80.3499984741211,4,2,0,4,4.662222222222223,1.1655555555555557,2023-10,2024-05,persistent (4-8)
13.13,80.33999633789062,4,2,0,4,2.9124999999999996,0.7281249999999999,2023-01,2024-01,persistent (4-8)
13.13,80.3499984741211,4,3,0,4,2.426388888888889,0.6065972222222222,2023-11,2024-04,persistent (4-8)
13.15,80.30999755859375,4,2,1,3,2.031388888888889,0.5078472222222222,2023-09,2024-09,persistent (4-8)
13.16,80.31999969482422,4,3,1,3,1.7897222222222222,0.44743055555555555,2023-03,2023-11,persistent (4-8)
13.27,80.37999725341797,3,2,2,1,9.3075,3.1024999999999996,2023-06,2024-08,recurring (2-3)
13.13,80.33000183105469,3,2,0,3,3.5263888888888886,1.175462962962963,2023-12,2024-02,recurring (2-3)
13.15,80.36000061035156,3,1,0,3,3.0549999999999997,1.0183333333333333,2023-10,2023-12,recurring (2-3)
13.24,80.36000061035156,3,1,0,3,3.028888888888889,1.0096296296296297,2023-01,2024-01,recurring (2-3)
13.2,80.37999725341797,3,2,0,3,2.7047222222222222,0.9015740740740741,2023-01,2023-11,recurring (2-3)
13.26,80.37000274658203,3,3,1,2,2.5094444444444446,0.8364814814814815,2023-08,2024-01,recurring (2-3)
13.19,80.3499984741211,3,3,1,2,2.1908333333333334,0.7302777777777778,2023-12,2024-08,recurring (2-3)
13.14,80.3499984741211,3,1,0,3,2.1574999999999998,0.7191666666666666,2023-10,2024-10,recurring (2-3)
13.24,80.37000274658203,3,3,1,2,1.9144444444444446,0.6381481481481482,2024-04,2024-09,recurring (2-3)
12.82,80.30999755859375,3,2,0,3,1.5961111111111113,0.5320370370370371,2023-02,2023-04,recurring (2-3)
12.85,80.2699966430664,3,3,1,2,1.261111111111111,0.42037037037037034,2023-02,2023-06,recurring (2-3)
13.18,80.33999633789062,3,2,1,2,0.8366666666666667,0.2788888888888889,2023-06,2024-09,recurring (2-3)
12.8,80.27999877929688,2,1,0,2,7.6177777777777775,3.8088888888888888,2023-02,2024-09,recurring (2-3)
13.16,80.36000061035156,2,2,0,2,4.044722222222222,2.022361111111111,2023-11,2024-05,recurring (2-3)
13.12,80.33000183105469,2,2,0,2,2.5169444444444444,1.2584722222222222,2023-12,2024-02,recurring (2-3)
13.22,80.3499984741211,2,2,1,1,2.1125000000000003,1.0562500000000001,2023-08,2024-09,recurring (2-3)
13.21,80.3499984741211,2,1,0,2,2.0972222222222223,1.0486111111111112,2023-09,2024-09,recurring (2-3)
13.19,80.37999725341797,2,2,1,1,2.012777777777778,1.006388888888889,2023-08,2023-11,recurring (2-3)
13.12,80.36000061035156,2,2,1,1,1.833611111111111,0.9168055555555555,2023-07,2023-11,recurring (2-3)
13.2,80.3499984741211,2,1,2,0,1.8247222222222221,0.9123611111111111,2024-07,2024-08,recurring (2-3)
13.23,80.36000061035156,2,1,0,2,1.7574999999999998,0.8787499999999999,2023-10,2023-12,recurring (2-3)
13.12,80.33999633789062,2,2,0,2,1.4674999999999998,0.7337499999999999,2023-01,2023-12,recurring (2-3)
13.1,80.36000061035156,2,2,1,1,1.4380555555555556,0.7190277777777778,2023-07,2024-10,recurring (2-3)
12.94,80.30999755859375,2,2,0,2,0.7955555555555556,0.3977777777777778,2023-02,2024-03,recurring (2-3)
13.19,80.37000274658203,2,2,0,2,0.5430555555555555,0.27152777777777776,2023-09,2024-04,recurring (2-3)
12.42,80.16999816894531,1,1,0,1,11.032777777777778,11.032777777777778,2023-02,2023-02,one-off
12.82,80.29000091552734,1,1,0,1,3.5502777777777776,3.5502777777777776,2023-05,2023-05,one-off
13.12,80.31999969482422,1,1,0,1,3.0166666666666666,3.0166666666666666,2024-02,2024-02,one-off
12.51,80.19999694824219,1,1,0,1,2.7688888888888887,2.7688888888888887,2024-04,2024-04,one-off
12.81,80.30999755859375,1,1,0,1,2.432777777777778,2.432777777777778,2023-03,2023-03,one-off
13.21,80.37000274658203,1,1,0,1,2.2669444444444444,2.2669444444444444,2023-12,2023-12,one-off
13.21,80.36000061035156,1,1,0,1,1.766388888888889,1.766388888888889,2023-12,2023-12,one-off
13.11,80.36000061035156,1,1,0,1,1.4705555555555554,1.4705555555555554,2023-12,2023-12,one-off
12.79,80.27999877929688,1,1,0,1,1.3052777777777778,1.3052777777777778,2023-03,2023-03,one-off
12.92,80.30000305175781,1,1,0,1,1.288888888888889,1.288888888888889,2023-02,2023-02,one-off
13.01,80.31999969482422,1,1,0,1,1.2516666666666667,1.2516666666666667,2023-02,2023-02,one-off
13.18,80.36000061035156,1,1,0,1,1.2402777777777778,1.2402777777777778,2024-05,2024-05,one-off
12.75,80.29000091552734,1,1,0,1,1.2225,1.2225,2023-03,2023-03,one-off
12.76,80.30000305175781,1,1,0,1,1.0697222222222222,1.0697222222222222,2023-03,2023-03,one-off
13.08,80.3499984741211,1,1,1,0,1.0516666666666667,1.0516666666666667,2024-06,2024-06,one-off
12.75,80.30000305175781,1,1,0,1,1.0444444444444445,1.0444444444444445,2023-03,2023-03,one-off
13.22,80.36000061035156,1,1,0,1,1.0297222222222224,1.0297222222222224,2023-09,2023-09,one-off
13.2,80.33999633789062,1,1,1,0,1.0183333333333335,1.0183333333333335,2023-08,2023-08,one-off
13.22,80.37000274658203,1,1,0,1,1.0144444444444445,1.0144444444444445,2023-12,2023-12,one-off
12.85,80.29000091552734,1,1,0,1,1.0075,1.0075,2024-09,2024-09,one-off
13.19,80.36000061035156,1,1,0,1,1.0075,1.0075,2023-12,2023-12,one-off
13.2,80.36000061035156,1,1,0,1,1.0075,1.0075,2023-12,2023-12,one-off
12.14,79.98999786376953,1,1,0,1,1.0072222222222222,1.0072222222222222,2024-09,2024-09,one-off
13.24,80.37999725341797,1,1,0,1,1.0072222222222222,1.0072222222222222,2023-12,2023-12,one-off
13.26,80.36000061035156,1,1,0,1,1.0072222222222222,1.0072222222222222,2023-04,2023-04,one-off
13.18,80.33000183105469,1,1,0,1,1.0066666666666668,1.0066666666666668,2023-09,2023-09,one-off
13.08,80.31999969482422,1,1,1,0,1.0061111111111112,1.0061111111111112,2023-06,2023-06,one-off
13.2,80.37000274658203,1,1,0,1,1.0,1.0,2023-01,2023-01,one-off
13.08,80.33999633789062,1,1,1,0,0.9894444444444446,0.9894444444444446,2023-07,2023-07,one-off
13.25,80.36000061035156,1,1,1,0,0.9794444444444446,0.9794444444444446,2024-08,2024-08,one-off
13.09,80.31999969482422,1,1,0,1,0.9202777777777778,0.9202777777777778,2023-11,2023-11,one-off
13.24,80.3499984741211,1,1,0,1,0.9180555555555555,0.9180555555555555,2023-09,2023-09,one-off
12.6,80.22000122070312,1,1,1,0,0.8983333333333333,0.8983333333333333,2024-07,2024-07,one-off
13.0,80.30999755859375,1,1,1,0,0.8369444444444445,0.8369444444444445,2024-07,2024-07,one-off
13.09,80.3499984741211,1,1,0,1,0.8344444444444444,0.8344444444444444,2024-04,2024-04,one-off
13.0,80.30000305175781,1,1,0,1,0.7986111111111112,0.7986111111111112,2024-09,2024-09,one-off
13.17,80.31999969482422,1,1,0,1,0.7844444444444445,0.7844444444444445,2023-09,2023-09,one-off
12.64,80.2300033569336,1,1,1,0,0.7755555555555556,0.7755555555555556,2024-07,2024-07,one-off
13.02,80.33000183105469,1,1,1,0,0.765277777777778,0.765277777777778,2023-06,2023-06,one-off
13.09,80.36000061035156,1,1,1,0,0.7561111111111112,0.7561111111111112,2023-08,2023-08,one-off
13.05,80.33000183105469,1,1,1,0,0.7555555555555555,0.7555555555555555,2023-06,2023-06,one-off
13.1,80.33999633789062,1,1,1,0,0.7555555555555555,0.7555555555555555,2024-06,2024-06,one-off
12.93,80.30999755859375,1,1,1,0,0.7316666666666667,0.7316666666666667,2023-06,2023-06,one-off
12.77,80.30000305175781,1,1,0,1,0.6255555555555555,0.6255555555555555,2023-03,2023-03,one-off
12.96,80.31999969482422,1,1,0,1,0.6144444444444445,0.6144444444444445,2023-11,2023-11,one-off
12.89,80.30000305175781,1,1,0,1,0.6,0.6,2024-10,2024-10,one-off
12.89,80.30999755859375,1,1,0,1,0.5611111111111111,0.5611111111111111,2023-03,2023-03,one-off
13.27,80.37000274658203,1,1,0,1,0.5472222222222222,0.5472222222222222,2023-10,2023-10,one-off
12.99,80.31999969482422,1,1,0,1,0.5355555555555556,0.5355555555555556,2023-12,2023-12,one-off
13.21,80.33999633789062,1,1,0,1,0.5038888888888888,0.5038888888888888,2023-12,2023-12,one-off
13.18,80.3499984741211,1,1,0,1,0.5036111111111111,0.5036111111111111,2023-12,2023-12,one-off
12.86,80.30999755859375,1,1,0,1,0.44083333333333335,0.44083333333333335,2023-02,2023-02,one-off
13.08,80.33000183105469,1,1,1,0,0.41833333333333333,0.41833333333333333,2023-06,2023-06,one-off
12.83,80.29000091552734,1,1,0,1,0.4166666666666667,0.4166666666666667,2023-04,2023-04,one-off
12.86,80.29000091552734,1,1,0,1,0.40277777777777773,0.40277777777777773,2023-04,2023-04,one-off
13.23,80.37999725341797,1,1,1,0,0.38222222222222224,0.38222222222222224,2024-08,2024-08,one-off
13.04,80.30999755859375,1,1,0,1,0.3336111111111111,0.3336111111111111,2024-09,2024-09,one-off
13.28,80.37999725341797,1,1,0,1,0.31527777777777777,0.31527777777777777,2024-04,2024-04,one-off
12.5,80.19999694824219,1,1,0,1,0.3011111111111111,0.3011111111111111,2024-04,2024-04,one-off
13.03,80.31999969482422,1,1,1,0,0.28888888888888886,0.28888888888888886,2024-08,2024-08,one-off
12.53,80.19000244140625,1,1,1,0,0.27416666666666667,0.27416666666666667,2024-07,2024-07,one-off
13.0,80.31999969482422,1,1,1,0,0.2727777777777778,0.2727777777777778,2024-08,2024-08,one-off
12.85,80.30000305175781,1,1,0,1,0.27194444444444443,0.27194444444444443,2023-05,2023-05,one-off
13.07,80.33999633789062,1,1,1,0,0.26694444444444443,0.26694444444444443,2024-07,2024-07,one-off
12.2,80.01000213623047,1,1,0,1,0.25194444444444447,0.25194444444444447,2024-09,2024-09,one-off
12.65,80.25,1,1,1,0,0.25194444444444447,0.25194444444444447,2024-08,2024-08,one-off
13.29,80.37999725341797,1,1,1,0,0.25194444444444447,0.25194444444444447,2024-08,2024-08,one-off
12.83,80.30000305175781,1,1,0,1,0.22499999999999998,0.22499999999999998,2023-04,2023-04,one-off
13.23,80.3499984741211,1,1,1,0,0.16083333333333333,0.16083333333333333,2024-07,2024-07,one-off
12.97,80.30999755859375,1,1,0,1,0.15500000000000003,0.15500000000000003,2024-09,2024-09,one-off
13.28,80.36000061035156,1,1,1,0,0.09972222222222223,0.09972222222222223,2024-08,2024-08,one-off
12.87,80.30999755859375,1,1,0,1,0.05333333333333334,0.05333333333333334,2023-04,2023-04,one-off
12.87,80.30000305175781,1,1,0,1,0.04388888888888889,0.04388888888888889,2023-05,2023-05,one-off
13.11,80.3499984741211,1,1,0,1,0.024444444444444446,0.024444444444444446,2024-04,2024-04,one-off
